frame,requirement_id,frame_domain_id,trace_id,entry_state_sha256,time_ms,scenario,language,kind,expected_state,trigger,baseline_file,baseline_sha256,implementation_file,implementation_sha256,diff_file,diff_sha256,normalized_rmse,timing_result,visual_result,evidence_source,reviewer,notes
1,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,0.000,default,en,static,four full quart bottles and empty gallon,initial load,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-03-v3/req-root-default-en/frame-001.png,209fa1b371519f59b2ad794b9fe421902ccbf7194446053896d07fd3b408e1cf,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
9,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,666.667,default,en,transition,first bottle motion begins,source frame 9 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-03-v3/req-root-default-en/frame-009.png,0e4cd7c2270f63948ee6619fcac7ba729886054a1e01c4d36efd8481bebe8956,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
16,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,1250.000,default,en,transition,pre-first-pour boundary,source frame 16 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-03-v3/req-root-default-en/frame-016.png,e4ac5d29abddc0595f46d3ce4cadd9c3b7113e46b3d7566cfd9e35d743f91379,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
17,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,1333.333,default,en,transition,first pour begins,source frame 17 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-03-v3/req-root-default-en/frame-017.png,813cf88d6415aea266d2fbed8bc749506da22b4ce68839ea6cde19514228dd84,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
35,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,2833.333,default,en,transition,one-quarter gallon fill,source frame 35 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-03-v3/req-root-default-en/frame-035.png,282980ec5ea7d130cbd2d3f326818d13643b69df7a64b716a23a410af6d85031,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
36,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,2916.667,default,en,transition,first bottle return begins,source frame 36 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-03-v3/req-root-default-en/frame-036.png,7d20dbeea4ae79566fc85e96eb465e6558088f0df48a14473fe37daf63fe7d9f,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
37,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,3000.000,default,en,transition,second bottle motion begins,source frame 37 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-03-v3/req-root-default-en/frame-037.png,46f5becb8feda60aaaa20381a952e7ac2f45e4c315d5591fe62e7865c26278be,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
45,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,3666.667,default,en,transition,second pour begins and first empty,source frame 45 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-03-v3/req-root-default-en/frame-045.png,3abfb174e160f6f12e67cea88bd97fad5d875534cb74fd458cd5560155cedb4f,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
63,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,5166.667,default,en,transition,half-gallon fill,source frame 63 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-03-v3/req-root-default-en/frame-063.png,375b0ac98c06ab599fcfcb2e2848bf18ba65b1476e87907376289633d842ad3c,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
64,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,5250.000,default,en,transition,second bottle return begins,source frame 64 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-03-v3/req-root-default-en/frame-064.png,576010453d00d6ad45e8446d1da28be31117b6c6ff1e80c467eb7f453abd7182,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
