frame,requirement_id,frame_domain_id,trace_id,entry_state_sha256,time_ms,scenario,language,kind,expected_state,trigger,baseline_file,baseline_sha256,implementation_file,implementation_sha256,diff_file,diff_sha256,normalized_rmse,timing_result,visual_result,evidence_source,reviewer,notes
1,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,0.000,default,en,static,four full quart bottles and empty gallon,initial load,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-02-v3/req-root-default-en/frame-001.png,5246b9d7fcfa8c7af5796a4f65fadc40b37ccc3f4802e862e710d608a63b0980,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
5,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,333.333,default,en,static,last quart-shadow frame,source frame 5 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-02-v3/req-root-default-en/frame-005.png,5246b9d7fcfa8c7af5796a4f65fadc40b37ccc3f4802e862e710d608a63b0980,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
6,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,416.667,default,en,transition,first bottle motion begins,source frame 6 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-02-v3/req-root-default-en/frame-006.png,80874162454d2ef7f74141ca250cdeff4c8fe643dc0662f7ef6ab0384927d535,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
9,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,666.667,default,en,transition,fluid-ounce counter fade begins,source frame 9 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-02-v3/req-root-default-en/frame-009.png,c0c1e14f83f29ca8c52ae7f1525c90b0ac13fbaf2ea3cfe7c2cde1e5cac2af1e,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
11,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,833.333,default,en,transition,first pour begins,source frame 11 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-02-v3/req-root-default-en/frame-011.png,ba236d3de1dfab124a59f8e136351296f205b23e9a244d56a74a7b948d23f31d,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
18,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,1416.667,default,en,transition,32 fluid ounces and quarter fill,source frame 18 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-02-v3/req-root-default-en/frame-018.png,344ea284427fbe4b3976adeee74100334bbed760acf2073ad1f3fbb2c68a54af,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
20,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,1583.333,default,en,transition,second bottle motion begins,source frame 20 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-02-v3/req-root-default-en/frame-020.png,813bc924be247eb6b2c0d96ea64874666d61f0c3af85fe49b58f9c21de7c03e1,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
26,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,2083.333,default,en,transition,second pour and first bottle empty,source frame 26 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-02-v3/req-root-default-en/frame-026.png,ee6bd8769bd316a98a54ad502ad9461f61d41589b05246dc27551e4cfce95470,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
34,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,2750.000,default,en,transition,half-gallon fill,source frame 34 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-02-v3/req-root-default-en/frame-034.png,da042f571faa3df917e63fb7071efe86b10a12d1945f54b220f0d3cc318e15c9,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
35,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,2833.333,default,en,transition,64 fluid ounces,source frame 35 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-02-v3/req-root-default-en/frame-035.png,edabdf100fa20ab1f8a931028ee02f90db762e6d740274bee0933cace7efdbaf,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
36,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,2916.667,default,en,transition,third bottle motion begins,source frame 36 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-02-v3/req-root-default-en/frame-036.png,332c8d319ad5b2ca364f5c3ea898fedd4e7c102a738898abbec260977504cc4f,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
42,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,3416.667,default,en,transition,third pour begins,source frame 42 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-02-v3/req-root-default-en/frame-042.png,38907f3edfbdfa16fb2cad00e162b7041f8b1dc96f8cdfdfec1120de03f0b4e3,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
50,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,4083.333,default,en,transition,three-quarter fill and fourth motion,source frame 50 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-02-v3/req-root-default-en/frame-050.png,f4fee9f6b49204eed686ebe2a58d54ba8119c3d67cc1849310a1d943a84e1f4e,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
52,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,4250.000,default,en,transition,96 fluid ounces,source frame 52 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-02-v3/req-root-default-en/frame-052.png,7cbc369aa967617df68486b7cfc8af068e3b4fcc730f85285a039ae90ff55abf,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
56,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,4583.333,default,en,transition,fourth pour begins,source frame 56 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-02-v3/req-root-default-en/frame-056.png,4c42ba7bad2ff64580b642dce6b93e7f6606f7ec9d9b6d185e11612b6955c220,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
66,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,5416.667,default,en,transition,gallon fill reaches complete,source frame 66 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-02-v3/req-root-default-en/frame-066.png,fef9ac49b063e6f987607da054f3ac731ffffb1699f1451e0816176a42efbe49,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
67,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,5500.000,default,en,transition,128 fluid ounces and pour exit,source frame 67 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-02-v3/req-root-default-en/frame-067.png,74237ab4bc967610fcf0f555a1bd25f14cf41b0bd8bc6d678a99747303d1a306,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
