frame,requirement_id,frame_domain_id,trace_id,entry_state_sha256,time_ms,scenario,language,kind,expected_state,trigger,baseline_file,baseline_sha256,implementation_file,implementation_sha256,diff_file,diff_sha256,normalized_rmse,timing_result,visual_result,evidence_source,reviewer,notes
1,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,0.000,default,en,static,initial empty cylinder and hidden pitcher boundary,initial load,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-04-v3/req-root-default-en/frame-001.png,3cc0b3e7cd7f4b3042ad8fc05c18faed527315b1ae269148ea6480fabb247c86,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
6,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,416.667,default,en,static,pitcher fully visible,source frame 6 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-04-v3/req-root-default-en/frame-006.png,a12c5c83d83a4f3d520bd01942202a31ef6977ca5eefea6464f0269e69a8722d,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
8,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,583.333,default,en,static,fill sequence begins,source frame 8 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-04-v3/req-root-default-en/frame-008.png,22255ea5f7d5a83de4d642e925d970d1c9ef91f87e63510e151417f8864fe8a4,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
9,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,666.667,default,en,static,liquid surface starts rising,source frame 9 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-04-v3/req-root-default-en/frame-009.png,274b61b062e3230460d988708154e3b3a3d64ff55001bca37418207c9b165321,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
39,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,3166.667,default,en,static,cylinder reaches full and pour remains visible,source frame 39 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-04-v3/req-root-default-en/frame-039.png,ce37dd1cc9a9e4b6ade25dd0a9ca156519e3f073db755a66263163b0b943782f,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
40,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,3250.000,default,en,static,pour fade begins,source frame 40 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-04-v3/req-root-default-en/frame-040.png,d0a7f5d30652ad65cf6524eb9ead916cce93a4f2878eb32f0ed8ef90eeace8c6,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
42,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,3416.667,default,en,static,pour removed,source frame 42 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-04-v3/req-root-default-en/frame-042.png,1073c92dfb2687669f955006b4a28c7d30d146c9a9e1c27dbdf2f53327165fb7,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
43,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,3500.000,default,en,static,pre-formula boundary,source frame 43 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-04-v3/req-root-default-en/frame-043.png,1073c92dfb2687669f955006b4a28c7d30d146c9a9e1c27dbdf2f53327165fb7,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
44,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,3583.333,default,en,static,formula fade begins,source frame 44 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-04-v3/req-root-default-en/frame-044.png,429b496aae3451b33cb1e0c9bba20e269f1307d8108d093cf580ca95fdf90d9a,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
51,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,4166.667,default,en,static,formula fully visible,source frame 51 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-04-v3/req-root-default-en/frame-051.png,586c839a0808f85bc7117cea8c193b94c6322addbe95c2d10f09bc0466efde21,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
55,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,4500.000,default,en,static,pitcher fade boundary,source frame 55 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-04-v3/req-root-default-en/frame-055.png,91f88f4251281afbf653b080d25d9ddbed9d7107f6f4d5536131d0912319df1f,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
59,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,4833.333,default,en,static,pitcher removed and pre-Replay boundary,source frame 59 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-04-v3/req-root-default-en/frame-059.png,60eb37191dbf9de162e6e75953d5d92471eba8ae4e9f5e857f53dcc419f382bd,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
60,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,4916.667,default,en,static,Replay fade begins,source frame 60 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-04-v3/req-root-default-en/frame-060.png,fa5fb2805f8e83f086a2577b8591083219c82b0773457a77da935f19d04f4819,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
67,req:root:default:en,root,trace:root:default:en:seed-0,0c9cb0a75fd7962e040a56e9359dee9f6afef997d1f9bf380656201980a5b5af,5500.000,default,en,static,terminal Replay state,source frame 67 boundary,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-04-v3/req-root-default-en/frame-067.png,6b3b858746b1c7b3817f1f2538765856b4931f7f8dd8e783fd47bd6d87f020da,,,,,,,,"English standalone engineering evidence only; not a human visual-review or owner signature. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
1,req:root:default:es,root,trace:root:default:es:seed-0,43bb3bbbaab63924c885500cfcf7792349dacf6466c75081dcc1dbc2020654b3,0.000,default,es,static,Spanish Mc_SD panel visible at initial child frame,deterministic frame query,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-04-v3/req-root-default-es/frame-001.png,8d6b79e96ceaec6d2d8db66fd914a0d6848245e571b4997a988cf9f80f6b079d,,,,,,,,"Child visual only; not original-host audio human or owner acceptance. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
34,req:root:default:es,root,trace:root:default:es:seed-0,43bb3bbbaab63924c885500cfcf7792349dacf6466c75081dcc1dbc2020654b3,2750.000,default,es,static,Spanish Mc_SD persists at middle probe frame,deterministic frame query,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-04-v3/req-root-default-es/frame-034.png,8044643024b95514c8e180bc5b78e3ecc309ff03797c1128d42f34be9f53d6cb,,,,,,,,"Child visual only; not original-host audio human or owner acceptance. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
67,req:root:default:es,root,trace:root:default:es:seed-0,43bb3bbbaab63924c885500cfcf7792349dacf6466c75081dcc1dbc2020654b3,5500.000,default,es,static,Spanish Mc_SD persists at terminal Replay state,deterministic frame query,,,output/playwright/schema-v4-queue/formula-elementary-conversion-01-04-v3/req-root-default-es/frame-067.png,f14d552d0f347778c98c9c12f182b0015d0e382c92c6bbe93281712a34fa852e,,,,,,,,"Child visual only; not original-host audio human or owner acceptance. Legacy baseline/implementation/diff/RMSE fields were archived as prereview-only and intentionally cleared; fresh coverage-v2 evidence is required. Deterministic current JavaScript implementation capture recorded; no original-runtime baseline, RMSE, audio, human-review, owner-review, or strict-completion claim is added."
